name,value
AndhraPradesh,4
Assam,3
Bihar,4
Delhi,4
Gujarat,3
Haryana,3
HP,4
J&K,3
Karnataka,3
Kerala,3
Kolkata,3
MP,3
Maharashtra,3
Mumbai,4
NorthEast,3
Odisha,4
Punjab,3
Rajasthan,3
TamilNadu,3
UP (E ),3
UP (W ),3
"WB,A&N",3
,0
