name,value
AndhraPradesh,6
Assam,0
Bihar,2
Delhi,2
Gujarat,5
Haryana,1
HP,3
J&K,0
Karnataka,2
Kerala,2
Kolkata,2
MP,2
Maharashtra,6
Mumbai,4
NorthEast,0
Odisha,3
Punjab,5
Rajasthan,6
TamilNadu,2
UP (E ),3
UP (W ),2
"WB,A&N",1
,0
