name,value
AndhraPradesh,22
Assam,99
Bihar,61
Delhi,64
Gujarat,65
Haryana,37
HP,57
J&K,160
Karnataka,21
Kerala,10
Kolkata,20
MP,23
Maharashtra,67
Mumbai,25
NorthEast,46
Odisha,7
Punjab,77
Rajasthan,55
TamilNadu,0
UP (E ),27
UP (W ),73
"WB,A&N",92
,0
