name,value
AndhraPradesh,0
Assam,0
Bihar,23
Delhi,0
Gujarat,15
Haryana,0
HP,0
J&K,0
Karnataka,0
Kerala,0
Kolkata,0
MP,0
Maharashtra,0
Mumbai,0
NorthEast,0
Odisha,0
Punjab,0
Rajasthan,0
TamilNadu,0
UP (E ),3
UP (W ),6
"WB,A&N",0
,0
