name,value
AndhraPradesh,-3
Assam,-2
Bihar,-1
Delhi,-2
Gujarat,-1
Haryana,-2
HP,-1
J&K,-1
Karnataka,-4
Kerala,-2
Kolkata,-2
MP,-2
Maharashtra,-1
Mumbai,-2
NorthEast,-2
Odisha,-2
Punjab,-1
Rajasthan,-1
TamilNadu,-4
UP (E ),-1
UP (W ),-1
"WB,A&N",-2
,0
