name,value
AndhraPradesh,-10
Assam,-15
Bihar,-2
Delhi,-54
Gujarat,-8
Haryana,-24
HP,-29
J&K,-48
Karnataka,-21
Kerala,-7
Kolkata,-10
MP,-23
Maharashtra,-7
Mumbai,-25
NorthEast,-46
Odisha,-7
Punjab,-22
Rajasthan,-11
TamilNadu,0
UP (E ),-10
UP (W ),-61
"WB,A&N",-4
,0
