name,value
AndhraPradesh,7
Assam,7
Bihar,7
Delhi,7
Gujarat,7
Haryana,7
HP,7
J&K,7
Karnataka,7
Kerala,7
Kolkata,7
MP,7
Maharashtra,7
Mumbai,7
NorthEast,7
Odisha,7
Punjab,7
Rajasthan,7
TamilNadu,7
UP (E ),7
UP (W ),7
"WB,A&N",7
,0
