name,value
AndhraPradesh,-4
Assam,-3
Bihar,-2
Delhi,-3
Gujarat,-3
Haryana,-2
HP,-4
J&K,-2
Karnataka,-3
Kerala,-2
Kolkata,-3
MP,-3
Maharashtra,-2
Mumbai,-3
NorthEast,-3
Odisha,-3
Punjab,-2
Rajasthan,-3
TamilNadu,-1
UP (E ),-1
UP (W ),-3
"WB,A&N",-3
,0
