name,value
AndhraPradesh,-2
Assam,-1
Bihar,-1
Delhi,-2
Gujarat,-2
Haryana,0
HP,-1
J&K,0
Karnataka,-2
Kerala,-2
Kolkata,-2
MP,-1
Maharashtra,-2
Mumbai,-2
NorthEast,-2
Odisha,-2
Punjab,0
Rajasthan,0
TamilNadu,-2
UP (E ),0
UP (W ),0
"WB,A&N",-1
,0
