name,value
AndhraPradesh,4
Assam,2
Bihar,2
Delhi,4
Gujarat,4
Haryana,2
HP,2
J&K,2
Karnataka,4
Kerala,2
Kolkata,4
MP,2
Maharashtra,4
Mumbai,4
NorthEast,2
Odisha,2
Punjab,2
Rajasthan,2
TamilNadu,4
UP (E ),2
UP (W ),2
"WB,A&N",2
,0
